10.01.2020;Seed;Esports, Betting;;Midnite;$2.50M
09.01.2020;Seed;Streaming, Esports;;Rheo.TV;$2.00M
09.01.2020;Venture;Esports;;LGDA;$11.6M
06.01.2020;Acquisition;Mobile, Publishers & Developers;;Ilyon Games;$100M
02.01.2020;Acquisition;Publishers & Developers;;Yippee Entertainment;$1.85M
22.12.2019;Acquisition;Esports;;ATU Esports Growth Fund;$17.0M
20.12.2019;Acquisition;Publishers & Developers;;Tarsier Studios;$10.5M
19.12.2019;Series b;Esports, Social & Communication;;GOSU.AI;$2.80M
19.12.2019;Acquisition;Cloud;;PlayGiga;$78.0M
18.12.2019;Acquisition;Streaming;;Cineplex;$2.10B
17.12.2019;Acquisition;Gamestech;;Syllabes;$400K
17.12.2019;Acquisition;Gamestech;;Ichi;$4.20M
17.12.2019;Acquisition;Gamestech;;Kantan;$7.80M
15.12.2019;Acquisition;Publishers & Developers;;nWay;$7.69M
12.12.2019;Series a;Esports;;Game.tv;$25.0M
11.12.2019;Venture;Esports;;Esports Mogul;$2.71M
10.12.2019;Venture;Esports;;G2 Esports;$10.0M
09.12.2019;Seed;Social & Communication, Esports;;PatronGG;$1.00M
05.12.2019;Series a;Publishers & Developers, Mobile;;Wildlife Studios;$60.0M
04.12.2019;Venture;AR/VR;;XR Games;$1.97M
02.12.2019;Seed;Cloud;;Area28;$2.15M
02.12.2019;Series b;Streaming, Esports;;Genvid Technologies;$27.0M
28.11.2019;Acquisition;Publishers & Developers;;Slightly Mad Studios;$30.0M
27.11.2019;Acquisition;Publishers & Developers;;Sold Out;$20.6M
26.11.2019;Corporate;Publishers & Developers;;Bossa Studios;$30.0M
25.11.2019;Series a;Cloud;;Airconsole;$3.00M
22.11.2019;Incorporation;Esports;;MSF.IO;$10.0M
21.11.2019;Seed;Social & Communication, Mobile;;Bunch Live;$3.80M
21.11.2019;Series c;Gamestech;;N3twork;$40.0M
20.11.2019;Venture;Gamestech;;Mythical Games;$19.0M
19.11.2019;Angel;PC, Publishers & Developers;;Ganymede Games;$550K
19.11.2019;Series a;Streaming;;LIV;$2.60M
19.11.2019;Seed;Publishers & Developers, Mobile;;Dream Games;$7.50M
19.11.2019;Series c;Publishers & Developers, PC;;Proletariat;$20.0M
18.11.2019;Series a;Esports;;EVOS Esports;$1.40M
17.11.2019;Incorporation;Esports;;OneTeam Partners;$125M
15.11.2019;Series a;Analytics, Esports;;FanAI;$8.00M
14.11.2019;Corporate;Publishers & Developers;;Misc Games;$117K
13.11.2019;Incorporation;Esports;;Artist e-Sports Edge I;$135M
11.11.2019;Series a;Gamestech;;Flavourworks;$3.90M
07.11.2019;Pre seed;Esports;;Team Vitality;$15.5M
06.11.2019;Acquisition;Publishers & Developers, PC;;Dimfrost Studios;$1.40M
06.11.2019;Pre seed;Publishers & Developers, Mobile;;Super Evil Megacorp;$10.5M
01.11.2019;Series a;Esports;;Mainline;$6.80M
30.10.2019;Series a;Esports;;Vindex;$60.0M
29.10.2019;Venture;Cloud;;Shadow;$33.0M
29.10.2019;Series d;Publishers & Developers, Mobile;;Scopely;$200M
23.10.2019;Venture;Publishers & Developers, Mobile;;Halti SA;$40.0M
23.10.2019;Acquisition;Mobile, Publishers & Developers;;Supercell;$40.0M
22.10.2019;Series a;Esports, Social & Communication;;nicecactus.gg;$5.50M
22.10.2019;Series a;AR/VR;;Sandbox VR;$11.0M
21.10.2019;Venture;Esports;;SK telecom CS T1 Co. (T1 Entertainment and Sports);$41.0M
18.10.2019;Series a;Publishers & Developers, Mobile;;MadBox;$16.5M
16.10.2019;Seed;Gamestech;;Atomontage;$2.00M
15.10.2019;Series a;Esports;;Victory Five;$14.2M
14.10.2019;Investment fund;Esports, Publishers & Developers, Gamestech;;Hiro Capital I;$110M
14.10.2019;Acquisition;Publishers & Developers;;Catalis Group;$114M
11.10.2019;Venture;Streaming;;Easy Live Inc.;$2.50M
10.10.2019;Seed;Esports, Publishers & Developers, Mobile;;META Games;$2.00M
10.10.2019;Series a;Esports;;Nerd Street Gamers;$12.0M
09.10.2019;Seed;Esports;;Five Vectors;$1.00M
09.10.2019;Seed;Publishers & Developers;;Utopos;$1.00M
09.10.2019;Series a;Console, Publishers & Developers, PC;;ProbablyMonsters;$18.8M
07.10.2019;Seed;Publishers & Developers, Mobile;;Tenacious Entertainment;$3.30M
04.10.2019;Series d;Publishers & Developers, Mobile;;IronSource;$400M
03.10.2019;Seed;PC, Publishers & Developers;;Playable World;$2.70M
01.10.2019;Venture;Esports;;Legionfarm Group;$1.50M
26.09.2019;Series a;Esports;;New Meta Entertainment;$30.0M
26.09.2019;Acquisition;Streaming;;Streamlabs;$89.0M
26.09.2019;Acquisition;Streaming;;Stream Labs;$118M
24.09.2019;Series a;Publishers & Developers;;Immutable;$15.0M
23.09.2019;Series b;Publishers & Developers;;Manticore Games;$3.00M
19.09.2019;Seed;Publishers & Developers;;Playfull;$2.00M
19.09.2019;Seed;Esports;;XY Gaming;$2.50M
18.09.2019;Series c;Esports;;PlayVS;$50.0M
17.09.2019;Seed;Publishers & Developers;;Starform;$1.25M
17.09.2019;Seed;Esports, Streaming;;Gaming 247 (VENN);$17.0M
17.09.2019;Seed;Streaming, Esports;;VENN;$17.0M
13.09.2019;Series a;Publishers & Developers;;BetaDwarf;$6.60M
12.09.2019;Series a;Gamestech;;Dapper Labs;$11.0M
09.09.2019;Series a;Publishers & Developers, Mobile;;Drivetime;$11.0M
06.09.2019;Series a;Streaming;;Medal.tv;$9.00M
06.09.2019;Series c;AR/VR;;VRChat;$10.0M
05.09.2019;Seed;Publishers & Developers, Mobile;;Dapp.com;$1.00M
02.09.2019;Seed;Esports;;Team Flash;$1.50M
02.09.2019;Corporate;Esports;;ESL;$30.0M
29.08.2019;Seed;Mobile, AR/VR;;Cerberus Interactive;$1.75M
29.08.2019;Series a;Publishers & Developers, Mobile;;Knock Knock;$4.00M
28.08.2019;Debenture;Betting, Esports, Analytics, Publishers & Developers;;Engine Media;$5.34M
27.08.2019;Series a;Esports, Mobile;;The Ready Games;$5.00M
23.08.2019;Acquisition;Peripherals;;Allinsports;$6.25M
22.08.2019;Acquisition;Social & Communication;;Sportskeeda;$534M
19.08.2019;Venture;Esports;;Still8;$4.50M
15.08.2019;Series b;Publishers & Developers, PC;;Klang Games;$22.3M
13.08.2019;Series a;PC, Publishers & Developers;;Singularity 6;$16.5M
09.08.2019;Venture;Esports;;Allied Esports Entertainment;$3.00M
09.08.2019;Venture;Esports;;Allied Esports Entertainment;$5.00M
08.08.2019;Acquisition;Publishers & Developers, Mobile;;Quidd;$5.00M
06.08.2019;Series a;Esports;;Matcherino;$1.50M
06.08.2019;Series a;Gamestech;;Anzu;$6.50M
25.07.2019;Seed;Esports;;Strafe;$3.00M
25.07.2019;Corporate;Mobile, Publishers & Developers;;Mino Games;$30.0M
23.07.2019;Seed;Publishers & Developers;;Doppio;$1.10M
17.07.2019;Seed;Publishers & Developers, PC, Mobile;;Horizon Blockchain Games;$3.75M
17.07.2019;Ipo;Streaming, Esports;;Douyu;$775M
16.07.2019;Seed;Mobile, Publishers & Developers;;Pixion Games;$2.00M
16.07.2019;Series b;Streaming, Esports;;100 Thieves;$35.0M
15.07.2019;Seed;Streaming, AR/VR, Publishers & Developers;;Surrogate;$2.00M
15.07.2019;Acquisition;Hardware;;GAME;$64.8M
10.07.2019;Seed;PC, Console, Mobile, Publishers & Developers;;Vela Games;$4.00M
09.07.2019;Seed;Mobile, Publishers & Developers;;Million Victories;$1.40M
01.07.2019;Venture;PC, Publishers & Developers;;Redhill Games;$11.4M
27.06.2019;Corporate;Mobile, Publishers & Developers;;CookApps;$20.0M
25.06.2019;Post ipo_equity;Publishers & Developers;;Gumi;$1.70M
24.06.2019;Seed;AR/VR, Physical Gaming Location, Esports;;smartVR;$1.50M
18.06.2019;Acquisition;Social & Communication;;Bebo;$25.0M
11.06.2019;Venture;Publishers & Developers, PC;;Novaquark;$11.2M
10.06.2019;Acquisition;Streaming, Esports;;Framerate;$2.50M
07.06.2019;Acquisition;Esports;;Infinite Esports & Entertainment;$40.0M
