"","id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
"270",211,"Mortal Kombat 9",136891.67,26,67
"271",340,"Soul Calibur II HD Online",945.41,5,29
"272",240,"Soul Calibur V",60008.54,26,78
"273",706,"Radical Heights",120000,2,12
"274",404,"Reflex",2158.4,7,21
"275",523,"Faeria",4100,5,12
"276",535,"Zula",1e+05,1,20
"277",368,"FIFA Online 3",1434341.9,9,89
"278",242,"Heroes of Newerth",2915206.56,371,813
"279",379,"Warsow",183,1,2
"280",519,"Madden NFL 2018",279676.62,3,40
"281",344,"Divekick",5840,11,27
"282",516,"Power Rangers: Legacy Wars",4178.55,1,2
"283",268,"Call of Duty 2",66828.51,17,41
"284",455,"Call of Duty: Infinite Warfare",4156205.06,80,341
"285",369,"Call of Duty: Modern Warfare 2",112860.64,18,59
"286",437,"Pokkén Tournament",77016.66,25,62
"287",405,"Blade & Soul",409355.52,5,51
"288",462,"Arcana Heart 3: LOVE MAX!!!!!",410,2,6
"289",512,"Chaos Code: New Sign of Catastrophe",140,1,3
"290",513,"Gundam Versus",280,1,6
"291",465,"FIFA 17",1482612.63,48,156
"292",492,"Doom (2016)",7000,1,6
"293",493,"Rage",5000,1,3
"294",491,"The Elder Scrolls: Legends",5000,1,3
"295",482,"Project Cars",67908.21,113,50
"296",501,"Heavy Metal Machines",12339.33,1,35
"297",449,"Vainglory",797421.19,35,247
"298",578,"Forza Motorsport 6",172600,9,43
"299",451,"Pro Evolution Soccer 2017",514697.71,16,39
"300",438,"Guilty Gear Xrd -REVELATOR-",36437.43,19,61
"301",475,"Madden NFL 2017",1004000,5,42
"302",483,"KartRider",567366.35,20,76
"303",416,"NHL '94",3818.56,8,25
"304",390,"Under Night In-Birth EXE: Late",6025.76,23,52
"305",411,"S.K.I.L.L. - Special Force 2",132532.93,21,82
"306",428,"Tetris Ultimate",221,1,3
"307",251,"Tekken Tag Tournament 2",125965.7,138,142
"308",472,"Mad Skills Motocross 2",20163,1,12
"309",471,"ComPet",2000,1,50
"310",467,"MOBA Legends",225,1,3
"311",425,"Call of Duty: Black Ops III",3939783.29,78,419
"312",463,"Counter-Strike Online",406989.6,12,70
"313",488,"MechWarrior Online",143490,1,0
"314",421,"FIFA 16",117828.11,28,61
"315",450,"Pro Evolution Soccer 2016",27243.84,6,17
"316",454,"Uncharted 4: A Thief's End",46235.07,1,5
"317",343,"Skullgirls Encore",9155.4,13,37
"318",505,"Gears of War: Ultimate Edition",170000,3,39
"319",381,"Guild Wars 2",476005.5,57,152
"320",476,"Madden NFL 2016",50000,1,8
"321",244,"Bloodline Champions",41905.32,12,43
"322",413,"BlazBlue: Chronophantasma Extend",4918.77,11,28
"323",196,"Marvel vs. Capcom 3",22343.62,12,38
"324",375,"Guilty Gear Xrd -SIGN-",37445.66,38,80
"325",432,"Metal Gear Online",8000,8,37
"326",433,"Grey Goo",36400,5,18
"327",260,"Injustice: Gods Among Us",35176.89,117,101
"328",415,"Splatoon",1390,4,3
"329",364,"Call of Duty: Advanced Warfare",2608808.93,404,783
"330",208,"Super Street Fighter IV Arcade Edition",343878.08,202,153
"331",422,"Shards of War",1029.21,1,20
"332",417,"Dengeki Bunko: Fighting Climax",60,1,3
"333",418,"Rising Thunder",1000,1,3
"334",407,"Evolve",131509.05,33,110
"335",362,"FIFA 15",144373.99,352,169
"336",384,"Halo 2 Anniversary",468705.05,20,97
"337",382,"Gears of War 3",7255.81,4,13
"338",383,"NHL 15",3157.16,3,3
"339",257,"Call of Duty: Black Ops 2",1467139.25,53,184
"340",498,"Pro Evolution Soccer 2015",26544.76,1,3
"341",424,"Legend of Glory",472.66,1,0
"342",360,"Ultimate Mortal Kombat 3",150,2,6
"343",394,"Battlefield Hardline",13463.28,1,20
"344",332,"BlazBlue: Chronophantasma",37020.58,15,63
"345",264,"Call of Duty 4: Modern Warfare",420331.47,86,422
"346",658,"Trackmania 2: Valley",779.34,2,6
"347",209,"Melty Blood: Actress Again",0,2,10
"348",273,"Call of Duty: Ghosts",1594185.25,76,199
"349",367,"NBA 2K Online",NA,NA,NA
"350",363,"Just Dance 2014",0,1,3
"351",269,"Dead or Alive 5 Ultimate",0,7,37
"352",271,"FIFA 14",96347.81,69,57
"353",256,"Halo 4",430748.76,19,66
"354",162,"Counter-Strike",13524629.57,996,4139
"355",497,"Pro Evolution Soccer 2014",29410.25,1,4
"356",252,"Persona 4 Arena",6336.63,11,42
"357",329,"NHL 14",3023.96,3,6
"358",700,"rFactor",15083.56,4,51
"359",163,"Defense of the Ancients",857420.65,94,468
"360",255,"FIFA 13",458427.82,62,53
"361",206,"Street Fighter IV",7938.22,12,41
"362",429,"Dragon Ball Z: Budokai 3",204.06,1,3
"363",370,"Turbo Racing League",1e+06,9,16
"364",342,"Skullgirls",300,1,3
"365",261,"BlazBlue: Continuum Shift Extend",0,1,3
"366",253,"Dead or Alive 5",0,2,4
"367",248,"Battlefield 3",25407.46,7,5
"368",259,"Unreal Tournament 3",104977.82,4,7
"369",275,"Madden NFL 2013",4e+05,1,8
"370",276,"NHL 13",70000,1,1
"371",207,"Super Street Fighter II Turbo HD Remix",16360,8,29
"372",250,"FIFA 12",54431.52,66,53
"373",243,"Call of Duty: Black Ops",375793.48,23,118
"374",258,"Call of Duty: Modern Warfare 3",1160815.66,45,209
"375",214,"Gears of War",252195.57,18,33
"376",189,"Tekken 6",119874.64,30,59
"377",212,"BlazBlue: Continuum Shift II",24591.01,5,14
"378",378,"Forza Motorsport 4",132.37,1,2
"379",377,"NHL 12",702.93,2,6
"380",215,"FIFA 11",93983.77,78,72
"381",266,"Rainbow Six: Vegas 2",79000,8,0
"382",230,"Super Street Fighter IV",20877.3,16,40
"383",198,"Soul Calibur IV",100260,3,4
"384",431,"Arcana Heart 3",1000,1,4
"385",336,"Trackmania United Forever",NA,NA,NA
"386",485,"Special Force",130250,3,0
"387",361,"Mortal Kombat vs. DC Universe",0,1,3
"388",216,"FIFA 10",117026.71,48,64
"389",354,"Day of Defeat: Source",14068.57,8,50
"390",372,"Carom 3D",60500,4,11
"391",380,"Forza Motorsport 3",11000,2,3
"392",398,"Enemy Territory: Quake Wars",60923.12,4,27
"393",403,"Guitar Hero 5",10500,1,3
"394",232,"Need for Speed: Shift",10500,1,3
"395",225,"Warhammer 40,000: Dawn of War",79816.5,3,7
"396",386,"Capcom vs. SNK",140,2,6
"397",217,"FIFA 09",121618.34,19,52
"398",338,"Pro Evolution Soccer 2009",1395.97,2,5
"399",263,"Gears of War 2",135000,5,0
"400",159,"Quake III Arena",1137832.19,100,243
"401",234,"Pro Evolution Soccer 3",25000,2,8
"402",373,"Red Stone",58000,2,12
"403",521,"Asphalt 4",29500,2,5
"404",575,"Wise Star 2",12000,1,3
"405",430,"BlazBlue: Calamity Trigger",35,1,3
"406",203,"Guilty Gear XX Accent Core Plus",0,1,3
"407",202,"Guilty Gear XX Accent Core",10365,4,33
"408",427,"King of Fighters XI",25,1,3
"409",181,"Project Gotham Racing 4",25208.46,4,5
"410",218,"FIFA 08",207129.94,17,68
"411",176,"Command & Conquer 3",53086.67,8,9
"412",347,"World in Conflict",293338.23,11,38
"413",277,"Need for Speed: ProStreet",32208.46,3,12
"414",480,"Madden NFL 2009",1e+05,1,1
"415",410,"Guitar Hero III: Legends of Rock",19000,2,8
"416",183,"Unreal Tournament 2003",147473.91,14,33
"417",192,"Dead or Alive 4",497745.31,13,45
"418",270,"Forza Motorsport 2",222000,2,17
"419",180,"Project Gotham Racing 3",297286.85,10,33
"420",357,"Battlefield 2",91715.22,12,0
"421",396,"Crysis",11340.95,2,0
"422",397,"Supreme Commander: Forged Alliance",1290.01,1,0
"423",337,"Pro Evolution Soccer 2008",2084.15,3,6
"424",366,"F.E.A.R.",178000,5,20
"425",233,"TrackMania Nations",93381.66,8,18
"426",219,"FIFA 07",237812.23,13,42
"427",355,"Battlefield 2142",18546.14,4,0
"428",169,"Quake 4",556678.51,52,100
"429",154,"Halo 2",1489362.47,71,119
"430",265,"Rainbow Six: Vegas",176400.77,7,137
"431",660,"Trackmania United",1027.5,1,3
"432",479,"Madden NFL 2008",1e+05,1,1
"433",267,"Shadowrun",24000,3,0
"434",173,"Need for Speed Carbon",36322.58,4,12
"435",237,"Pro Evolution Soccer 6",20216.82,2,5
"436",201,"Guilty Gear XX Slash",10250,2,6
"437",401,"S.T.A.L.K.E.R.: Shadow of Chernobyl",4901.26,1,0
"438",400,"Supreme Commander",4901.26,1,0
"439",399,"Rise of Nations: Rise of Legends",69600,1,8
"440",478,"Madden NFL 2007",1e+05,1,1
"441",220,"FIFA 06",112464.53,12,23
"442",466,"Ghost Recon Advanced Warfighter",24000,2,0
"443",174,"Need for Speed: Most Wanted",35694.54,7,18
"444",184,"Unreal Tournament 2004",133969.33,12,41
"445",168,"Hyper Street Fighter II",10250,1,8
"446",186,"Tekken 5",10250,9,10
"447",392,"Day of Defeat",50300,3,37
"448",238,"Gran Turismo 4",44000,2,5
"449",236,"Pro Evolution Soccer 5",32000,1,4
"450",477,"Madden NFL 2006",1e+05,1,1
"451",221,"FIFA 05",57728.01,8,5
"452",239,"Painkiller",1015000,13,48
"453",193,"Dead or Alive Ultimate",30000,1,3
"454",175,"Need for Speed: Underground 2",35629.48,3,8
"455",235,"Pro Evolution Soccer 4",40550.64,2,11
"456",356,"Call of Duty",50629.77,3,51
"457",200,"Guilty Gear XX #Reload",0,1,3
"458",188,"Tekken Tag Tournament",0,4,7
"459",170,"Doom 3",257748.16,4,14
"460",153,"Halo: Combat Evolved",299281,39,114
"461",228,"Project Gotham Racing 2",35000,2,4
"462",171,"Counter-Strike: Condition Zero",162150.6,3,111
"463",408,"Gran Turismo 3: A-Spec",3250,2,4
"464",222,"FIFA 04",40000,3,3
