"TeamId","TeamName","TotalUSDPrize","TotalTournaments"
488,"Glacial Gaming",2852.25,15
25011,"⁠Team THRLL",2848.88,2
24863,"Team SiNister",2847.34,2
24895,"Team of elite guys",2807.92,2
24675,"Augury Gaming",2801.6,6
570,"Lets Play",2787.47,22
24699,"orKs Grand Poitiers",2672.46,13
24691,"Thunder Gaming",2550.05,7
122,"Praetoriani",2544.48,11
809,"4 Asians Plus 1",2500,1
590,"Kyrgyzsian National Team",2500,1
603,"Tunesian National Team",2500,1
25020,"BlackBird Ignis",2450.6,2
24758,"BEDNAR Team",2441.01,2
25053,"Team Toxic",2340,1
640,"Team Oxy",2314,18
24964,"Signature Gaming",2305.48,2
493,"Haven Esports",2265.43,22
24976,"Se7en eSports",2250,2
498,"Great British Pounding",2213.61,2
532,"Kingsmen",2207.82,7
24935,"HONORIS",2172.12,1
25004,"KV Mechelen",2142.65,2
837,"War Legend",2128.81,3
24685,"Supersonic Avengers",2115.1,9
564,"Olympus Esports",2106.65,20
146,"Salade Tomate Oignon",2061.31,1
24799,"Nfinite",2000,1
24951,"Oryx Esports",2000,1
624,"Sporting CP eSports",2000,1
24802,"Team Chaotic",2000,1
24730,"Team Razer",2000,1
24995,"vsBANDITS",2000,1
491,"Amino",1987.35,17
360,"Grow uP Gaming",1971.37,2
128,"WeRRa",1969.74,2
25038,"Revolution",1968.89,3
24681,"Kings of Urban",1950,11
729,"Myth Gaming",1900,3
154,"LighT eSports",1870.48,3
24925,"ACE1",1700,4
24962,"Gaming Privé",1652.16,12
25019,"KPI Gaming",1594.94,1
376,"GSI Gaming",1509.61,1
24952,"1NE eSports",1500,1
24966,"ASMR eSports",1500,1
24770,"c0ntact Gaming",1500,1
24980,"Morning Light",1500,2
244,"Team Saw",1500,1
25005,"Aethra Esports",1467.63,1
24977,"Big Time Regal Gaming",1447,1
25082,"Team Valtra",1435.63,1
390,"Team Innovation",1433.17,4
182,"Vile Gaming",1350,2
685,"BOT Empire",1322.8,5
535,"Synthetik",1303.03,7
292,"Rock Solid",1300,2
232,"Fuse",1250,1
394,"XDG Gaming",1250,1
492,"Frequency",1220,7
24997,"Rams",1200,1
25006,"Team 7AM",1174.1,1
619,"SilentSquad",1141.88,9
556,"AntiBeat Multigaming",1107.97,2
24920,"Team XENEX",1106.45,3
24889,"AVENUE eSports",1052.33,2
24988,"Team Vikings",1050,2
186,"Team Menace.fi",1014.09,8
25037,"Paper Rex",1000,1
449,"Team Symthic",1000,1
202,"Unitary Guerilla Platoon",1000,1
25033,"YaLLa Esports",1000,1
24701,"eMonkeyz",997.99,3
24763,"Alki-Agrar",984.64,1
24930,"Honig Gäng",973.94,1
749,"EMP",959.3,3
784,"UX Gaming",950.94,6
24986,"OtterWorld eSport",950,3
563,"MisaiFix",906.51,8
24688,"BOT",898.32,24
24873,"Refund Gaming",894.75,3
25003,"B4 eSports",886.29,1
25007,"RSC Anderlecht Esports",880.58,1
25055,"euphoria",877,1
24972,"SalzZ",874,2
812,"ePunks",800,1
662,"Lone Ranger",735.7,6
24928,"Triple A Esports",708,1
24999,"Athletix eSport",700,2
24852,"Inside Games",694.8,2
750,"Good Game Labs",694.62,4
553,"Team Ascension",659.2,3
24915,"Horus Esports",642.51,1
757,"Eraiize",621.34,8
670,"Black Craft Spirits",600.6,3
24805,"Golden Modem Squad",600,2
25035,"orKs Grand Poitiers",590,1
438,"Team Xcution",586.4,3
25054,"MUTED",585,1
796,"squad",570.56,3
511,"West Ham United",567.55,1
24808,"Yunktis",565.32,1
804,"For Glory",500,2
569,"GamersLeague eSport",487.51,6
25073,"Aphelion Esports",471,1
567,"U4X eSports",469.68,6
620,"Degasa",435.73,7
555,"Team Tower",400,1
568,"Permafrost Gaming",399.62,4
381,"SUPA HOT CREW XD",350,1
24697,"Hound Esports",337.51,2
24936,"Cocktails Dannati",331.06,14
24897,"Centaury Event",328.35,11
25059,"Good Game",292,1
25056,"Kum Gaming",292,1
25057,"Marten Gaming",292,1
785,"Team EGO",278.07,6
681,"GameTyrant",272.2,6
24809,"Exillium Esports",258.97,1
24728,"Fudoh",250,1
25040,"TopHard Esports",250,1
631,"Rabbit Deaf e-Sports",223.42,8
25000,"Technocracy",217.33,7
497,"Ionic.gg",211.96,1
24804,"Sage eSports",200,1
24982,"Sunflower Gaming",200,1
467,"Apocalypse eSports",169.25,4
24694,"Joe Gibbs Racing",155,1
632,"Defenses Geniuses",151.45,2
24940,"Team Immunity",150,1
173,"Team Legion",150,1
686,"G-Force",145,1
617,"Kids Next Door",136,2
641,"Geeky Goon Squad",128.13,8
24924,"Vikingekrig Esports",125,1
578,"KATT5",114.8,2
24693,"JR Motorsports",108,1
25048,"Arrowgant Combottants",70.2,1
573,"BOXR",48.37,1
634,"Aptitude E-Sports",28.05,1
633,"GuildWars",21.92,1
258,"aDversity",0,NA
964,"Astral Gaming",0,NA
24989,"B4stardos",0,NA
24922,"Borowiki",0,NA
24927,"BS COMPEITION",0,NA
24765,"CCyber Giants",0,NA
858,"Chengdu Hunters",0,NA
672,"Cocodrilos eSports",0,NA
24990,"DC Team",0,NA
