"id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
704,"Call of Duty: Blackout",611608.35,18,175
556,"FIFA 19",3242642.34,48,303
520,"Yu-Gi-Oh! Duel Links",48746.72,219,328
486,"Naruto Shippuden: Ultimate Ninja Storm 4",4550,5,7
457,"Aquapazza: Aquaplus Dream Match",245,2,5
608,"Hokuto no Ken",145,1,3
420,"Nitroplus Blasterz: Heroines Infinite Duel",1994,4,10
210,"Tatsunoko vs. Capcom: Ultimate All-Stars",1330.81,8,13
617,"Catherine: Full Body",185,1,3
604,"Guilty Gear",32,1,3
619,"Project Justice",165,1,3
585,"Teenage Mutant Ninja Turtles: Tournament Fighters",820,2,7
620,"Ultra Fight Da! Kyanta 2",320,1,3
607,"Fighter's History Dynamite",195,1,3
161,"Quake II",140179.5,10,32
494,"Injustice 2",835742.83,37,81
652,"Mordhau",16623,3,40
624,"Sea of Thieves",100000,4,67
602,"King of Fighters 98",7945.57,3,7
645,"Pro Evolution Soccer 2019",216000,2,25
705,"Stardew Valley",54250,2,56
571,"Guns of Boom",198750,21,8
582,"Splitgate: Arena Warfare",50000,2,64
197,"Soul Calibur II",4790,7,15
584,"Street Fighter EX2 Plus",350,2,5
213,"Street Fighter X Tekken",84090.64,93,115
545,"Magic: The Gathering Online",1218000,10,130
496,"Wolfenstein: Enemy Territory",140963.24,18,152
590,"Warparty",1000,1,4
572,"NHL 19",22566.67,8,10
452,"Gears of War 4",3087285,41,135
573,"Madden NFL 19",125000,3,5
359,"TrackMania 2: Canyon",22098.74,36,21
701,"Sekiro: Shadows Die Twice",19596,1,20
600,"Company of Heroes 2",8561.22,6,11
703,"The Division 2",27250,2,40
226,"Counter-Strike: Source",3117222.29,333,1502
502,"Hand of the Gods",94434.2,36,48
448,"Mortal Kombat XL",129203.79,17,50
191,"Virtua Fighter 5",39830,7,14
522,"Black Squad",8480.72,17,57
391,"Mortal Kombat X",523532.42,62,100
596,"Super Mario Party",220,1,4
565,"Creative Destruction",100000,1,8
518,"FIFA 18",2233697.69,48,238
423,"Halo 5: Guardians",7071480.97,75,233
346,"Point Blank",699167.75,32,297
351,"SMITE",8640112.75,95,522
579,"F1 2018",200000,1,21
345,"World of Tanks",3656496.59,50,403
490,"Call of Duty: World War II",4559271,64,266
517,"World of Tanks Blitz",63330,6,14
611,"SNK Heroines: Tag Team Frenzy",430,1,3
274,"Battlefield 4",245766.46,145,204
530,"Warface",109555,2,32
388,"Dead or Alive 5: Last Round",8163.82,19,45
353,"Street Fighter Alpha 3",300,4,15
550,"Pro Evolution Soccer 2018",250000,3,20
538,"NBA 2K18",1000000,4,91
157,"Quake Live",682294.04,410,213
546,"Realm Royale",263000,9,47
178,"Age of Mythology",52360,6,22
542,"NHL 18",102700,6,20
473,"Critical Ops",12606.41,3,4
419,"H1Z1",2067122,13,119
453,"Battlerite",65173.45,75,86
503,"Pokémon VGC",211500,24,170
211,"Mortal Kombat 9",136891.67,26,67
340,"Soul Calibur II HD Online",945.41,5,29
240,"Soul Calibur V",60008.54,26,78
706,"Radical Heights",120000,2,12
404,"Reflex",2158.4,7,21
523,"Faeria",4100,5,12
535,"Zula",100000,1,20
368,"FIFA Online 3",1434341.9,9,89
242,"Heroes of Newerth",2915206.56,371,813
379,"Warsow",183,1,2
519,"Madden NFL 2018",279676.62,3,40
344,"Divekick",5840,11,27
516,"Power Rangers: Legacy Wars",4178.55,1,2
268,"Call of Duty 2",66828.51,17,41
455,"Call of Duty: Infinite Warfare",4156205.06,80,341
369,"Call of Duty: Modern Warfare 2",112860.64,18,59
437,"Pokkén Tournament",77016.66,25,62
405,"Blade & Soul",409355.52,5,51
462,"Arcana Heart 3: LOVE MAX!!!!!",410,2,6
512,"Chaos Code: New Sign of Catastrophe",140,1,3
513,"Gundam Versus",280,1,6
465,"FIFA 17",1482612.63,48,156
492,"Doom (2016)",7000,1,6
493,"Rage",5000,1,3
491,"The Elder Scrolls: Legends",5000,1,3
482,"Project Cars",67908.21,113,50
501,"Heavy Metal Machines",12339.33,1,35
449,"Vainglory",797421.19,35,247
578,"Forza Motorsport 6",172600,9,43
451,"Pro Evolution Soccer 2017",514697.71,16,39
438,"Guilty Gear Xrd -REVELATOR-",36437.43,19,61
475,"Madden NFL 2017",1004000,5,42
483,"KartRider",567366.35,20,76
416,"NHL '94",3818.56,8,25
390,"Under Night In-Birth EXE: Late",6025.76,23,52
411,"S.K.I.L.L. - Special Force 2",132532.93,21,82
428,"Tetris Ultimate",221,1,3
251,"Tekken Tag Tournament 2",125965.7,138,142
472,"Mad Skills Motocross 2",20163,1,12
471,"ComPet",2000,1,50
467,"MOBA Legends",225,1,3
425,"Call of Duty: Black Ops III",3939783.29,78,419
463,"Counter-Strike Online",406989.6,12,70
488,"MechWarrior Online",143490,1,0
421,"FIFA 16",117828.11,28,61
450,"Pro Evolution Soccer 2016",27243.84,6,17
454,"Uncharted 4: A Thief's End",46235.07,1,5
343,"Skullgirls Encore",9155.4,13,37
505,"Gears of War: Ultimate Edition",170000,3,39
381,"Guild Wars 2",476005.5,57,152
476,"Madden NFL 2016",50000,1,8
244,"Bloodline Champions",41905.32,12,43
413,"BlazBlue: Chronophantasma Extend",4918.77,11,28
196,"Marvel vs. Capcom 3",22343.62,12,38
375,"Guilty Gear Xrd -SIGN-",37445.66,38,80
432,"Metal Gear Online",8000,8,37
433,"Grey Goo",36400,5,18
260,"Injustice: Gods Among Us",35176.89,117,101
415,"Splatoon",1390,4,3
364,"Call of Duty: Advanced Warfare",2608808.93,404,783
208,"Super Street Fighter IV Arcade Edition",343878.08,202,153
422,"Shards of War",1029.21,1,20
417,"Dengeki Bunko: Fighting Climax",60,1,3
418,"Rising Thunder",1000,1,3
407,"Evolve",131509.05,33,110
362,"FIFA 15",144373.99,352,169
384,"Halo 2 Anniversary",468705.05,20,97
382,"Gears of War 3",7255.81,4,13
383,"NHL 15",3157.16,3,3
257,"Call of Duty: Black Ops 2",1467139.25,53,184
498,"Pro Evolution Soccer 2015",26544.76,1,3
424,"Legend of Glory",472.66,1,0
360,"Ultimate Mortal Kombat 3",150,2,6
394,"Battlefield Hardline",13463.28,1,20
332,"BlazBlue: Chronophantasma",37020.58,15,63
264,"Call of Duty 4: Modern Warfare",420331.47,86,422
658,"Trackmania 2: Valley",779.34,2,6
209,"Melty Blood: Actress Again",0,2,10
273,"Call of Duty: Ghosts",1594185.25,76,199
367,"NBA 2K Online",NA,NA,NA
363,"Just Dance 2014",0,1,3
269,"Dead or Alive 5 Ultimate",0,7,37
271,"FIFA 14",96347.81,69,57
256,"Halo 4",430748.76,19,66
162,"Counter-Strike",13529661.03,997,4141
497,"Pro Evolution Soccer 2014",29410.25,1,4
252,"Persona 4 Arena",6336.63,11,42
329,"NHL 14",3023.96,3,6
700,"rFactor",15083.56,4,51
163,"Defense of the Ancients",857420.65,94,468
255,"FIFA 13",458427.82,62,53
206,"Street Fighter IV",7938.22,12,41
429,"Dragon Ball Z: Budokai 3",204.06,1,3
370,"Turbo Racing League",1000000,9,16
342,"Skullgirls",300,1,3
261,"BlazBlue: Continuum Shift Extend",0,1,3
253,"Dead or Alive 5",0,2,4
248,"Battlefield 3",25407.46,7,5
259,"Unreal Tournament 3",104977.82,4,7
275,"Madden NFL 2013",400000,1,8
276,"NHL 13",70000,1,1
207,"Super Street Fighter II Turbo HD Remix",16360,8,29
250,"FIFA 12",54431.52,66,53
243,"Call of Duty: Black Ops",375793.48,23,118
258,"Call of Duty: Modern Warfare 3",1160815.66,45,209
214,"Gears of War",252195.57,18,33
189,"Tekken 6",119874.64,30,59
212,"BlazBlue: Continuum Shift II",24591.01,5,14
378,"Forza Motorsport 4",132.37,1,2
377,"NHL 12",702.93,2,6
215,"FIFA 11",93983.77,78,72
266,"Rainbow Six: Vegas 2",79000,8,0
230,"Super Street Fighter IV",20877.3,16,40
198,"Soul Calibur IV",100260,3,4
431,"Arcana Heart 3",1000,1,4
336,"Trackmania United Forever",NA,NA,NA
485,"Special Force",130250,3,0
361,"Mortal Kombat vs. DC Universe",0,1,3
216,"FIFA 10",117026.71,48,64
354,"Day of Defeat: Source",14068.57,8,50
372,"Carom 3D",60500,4,11
380,"Forza Motorsport 3",11000,2,3
398,"Enemy Territory: Quake Wars",60923.12,4,27
403,"Guitar Hero 5",10500,1,3
232,"Need for Speed: Shift",10500,1,3
225,"Warhammer 40,000: Dawn of War",79816.5,3,7
386,"Capcom vs. SNK",140,2,6
217,"FIFA 09",121618.34,19,52
338,"Pro Evolution Soccer 2009",1395.97,2,5
263,"Gears of War 2",135000,5,0
159,"Quake III Arena",1137832.19,100,243
234,"Pro Evolution Soccer 3",25000,2,8
373,"Red Stone",58000,2,12
521,"Asphalt 4",29500,2,5
575,"Wise Star 2",12000,1,3
430,"BlazBlue: Calamity Trigger",35,1,3
203,"Guilty Gear XX Accent Core Plus",0,1,3
202,"Guilty Gear XX Accent Core",10365,4,33
427,"King of Fighters XI",25,1,3
181,"Project Gotham Racing 4",25208.46,4,5
218,"FIFA 08",207129.94,17,68
176,"Command & Conquer 3",53086.67,8,9
347,"World in Conflict",293338.23,11,38
277,"Need for Speed: ProStreet",32208.46,3,12
480,"Madden NFL 2009",100000,1,1
410,"Guitar Hero III: Legends of Rock",19000,2,8
183,"Unreal Tournament 2003",147473.91,14,33
192,"Dead or Alive 4",497745.31,13,45
270,"Forza Motorsport 2",222000,2,17
180,"Project Gotham Racing 3",297286.85,10,33
357,"Battlefield 2",91715.22,12,0
396,"Crysis",11340.95,2,0
397,"Supreme Commander: Forged Alliance",1290.01,1,0
337,"Pro Evolution Soccer 2008",2084.15,3,6
366,"F.E.A.R.",178000,5,20
233,"TrackMania Nations",93381.66,8,18
219,"FIFA 07",237812.23,13,42
355,"Battlefield 2142",18546.14,4,0
