11.05.2017;Series b;Mobile, Publishers & Developers;;Pocket Gems;$90.0M
11.05.2017;Series b;Mobile;;Improbable;$502M
02.05.2017;Corporate;Publishers & Developers;;InnoGames;$96.0M
28.04.2017;Acquisition;Analytics;;StreamHatchet;$480K
27.04.2017;Ipo;Publishers & Developers;;Netmarble;$2.30B
10.04.2017;Corporate;Mobile, Publishers & Developers;;Shipyard Games;$2.90M
05.04.2017;Series b;Esports, Analytics;;Bayes Holding;$6.00M
22.03.2017;Ipo;Publishers & Developers;;Next Games;$38.0M
17.03.2017;Series a;Esports, Streaming, AR/VR;;Sliver.tv;$16.0M
02.03.2017;Series a;Publishers & Developers;;Wavedash Games;$6.00M
24.02.2017;Angel;Esports;;Challengermode;$1.30M
03.02.2017;Acquisition;Publishers & Developers, Mobile;;Outfit7;$1.00B
22.12.2016;Venture;Esports;;BLAST entertainment;$4.32M
17.12.2016;Acquisition;Publishers & Developers;;Babil Games;$17.0M
13.12.2016;Seed;Streaming, Esports;;BoomTV;$3.50M
06.11.2016;Acquisition;Mobile, Publishers & Developers;;Crowdstar;$45.5M
26.10.2016;Series c;Esports;;Super League Gaming;$5.00M
05.10.2016;Seed;Publishers & Developers, Mobile;;Critical Force;$4.46M
20.09.2016;Venture;Esports;;G-Loot;$5.70M
14.09.2016;Corporate;Publishers & Developers;;Hero Entertainment;$288M
29.08.2016;Seed;Esports, Streaming;;Genvid Technologies;$1.50M
24.08.2016;Seed;Esports, Streaming, AR/VR;;Sliver.tv;$6.20M
23.08.2016;Series b;Esports;;Ninjas in Pyjamas;$600K
10.08.2016;Series a;Physical Gaming Location, Esports;;Wangyudashi;$23.0M
15.07.2016;Seed;Esports;;Strafe;$1.53M
30.06.2016;Acquisition;Publishers & Developers;;Playtika;$4.40M
21.06.2016;Acquisition;PC, Publishers & Developers, Mobile;;Simutronics;$938K
09.06.2016;Seed;Esports;;Gamer Sensei;$2.30M
19.05.2016;Series a;Esports, Analytics;;Bayes Holding;$4.50M
10.05.2016;Ipo;Publishers & Developers, Mobile;;Nitro Games;$3.80M
04.05.2016;Seed;Esports, Streaming;;kek.tv;$2.50M
21.04.2016;Seed;Social & Communication, Esports;;Zengaming;$2.80M
20.04.2016;Grant;Esports;;Super League Gaming;$5.05M
01.04.2016;Seed;Esports;;Smash.gg;$3.00M
30.03.2016;Seed;Streaming, Esports, AR/VR;;Sliver.tv;$4.00M
30.03.2016;Acquisition;Esports;;World Electronic Sports Games (WESG);$15.4M
04.01.2016;Acquisition;Esports;;Major League Gaming (MLG);$46.0M
